Article,Word,Plural,Translation,Category
,Wie geht es Ihnen?,,¿Cómo está usted?,expression
,Wie geht es dir?,,¿Qué tal? (formal),expression
,Wie geht's?,,¿Qué tal? (casual),expression
,Mir geht es gut,,Respuesta OK a ¿Qué tal?,expression
,es geht,,Respuesta Neutral a ¿Qué tal?,expression
,nicht so gut,,no muy bien,expression
,bitte,,por favor / de nada,expression
,danke,,gracias,expression
,Entschuldigung,,perdón / disculpe,expression
,Freut mich,,encantado / mucho gusto,expression
,auch,,también,adverb
,angenehm,,encantado / agradable,adjective
,neu,,nuevo,adjective
,sehr,,muy,adverb
,freundlich,,amigable,adjective
der,Freund,Freunde,amigo,noun
die,Freundin,Freundinnen,amiga,noun
,interessant,,interesante,adjective
der,Arzt,Ärzte,médico,noun
die,Ärztin,Ärztinnen,médica,noun
der,Student,Studenten,estudiante (hombre),noun
die,Studentin,Studentinnen,estudiante (mujer),noun
der,Kollege,Kollegen,compañero / colega,noun
die,Kollegin,Kolleginnen,compañera / colega,noun
,müde,,cansado,adjective
,glücklich,,feliz,adjective
,kalt,,frío,adjective
,intelligent,,inteligente,adjective
,pünktlich,,puntual,adjective
,richtig,,correcto,adjective
,überrascht,,sorprendido,adjective
,natürlich,,natural / por supuesto,adjective
,willkommen,,bienvenido,adjective
das,Komma,Kommata / Kommas,coma,noun
der,Montag,Montage,lunes,noun
der,Dienstag,Dienstage,martes,noun
der,Mittwoch,Mittwoche,miércoles,noun
der,Donnerstag,Donnerstage,jueves,noun
der,Freitag,Freitage,viernes,noun
der,Samstag,Samstage,sábado,noun
der,Sonntag,Sonntage,domingo,noun
der,Tag,Tage,día,noun
der,Monat,Monate,mes,noun
der,Januar,,enero,noun
der,Februar,,febrero,noun
der,März,,marzo,noun
der,April,,abril,noun
der,Mai,,mayo,noun
der,Juni,,junio,noun
der,Juli,,julio,noun
der,August,,agosto,noun
der,September,,septiembre,noun
der,Oktober,,octubre,noun
der,November,,noviembre,noun
der,Dezember,,diciembre,noun
der,Frühling,,primavera,noun
der,Sommer,,verano,noun
der,Herbst,,otoño,noun
der,Winter,,invierno,noun
der,Mann,Männer,hombre,noun
die,Frau,Frauen,mujer,noun
,sprechen,,hablar,verb
,kommen,,venir,verb
,aus,,de / desde,preposition
,trinken,,beber,verb
,essen,,comer,verb
der,Kaffee,,café,noun
das,Wasser,,agua,noun
der,Kuchen,Kuchen,pastel / torta,noun
,haben,,tener,verb
der,Hunger,,hambre,noun
,machen,,hacer,verb
,gehen,,ir / caminar,verb
die,Hausaufgaben,,deberes,noun
,arbeiten,,trabajar,verb
die,Arbeit,,trabajo,noun
das,Büro,Büros,oficina,noun
der,Apfel,Äpfel,manzana,noun
der,Kellner,Kellner,camarero,noun
,bringen,,traer,verb
der,Fußball,Fußbälle,fútbol,noun
,kaufen,,comprar,verb
das,Brot,Brote,pan,noun
,bestellen,,pedir / ordenar,verb
die,Pommes,,papas fritas,noun
,schreiben,,escribir,verb
,hören,,oír / escuchar,verb
die,Musik,,música,noun
,malen,,pintar,verb
,fahren,,conducir / ir (en vehículo),verb
das,Auto,Autos,coche,noun
,nett,,simpático,adjective
der,Tisch,Tische,mesa,noun
,lernen,,aprender,verb
das,Essen,,comida,noun
die,Schweiz,,Suiza,proper noun
,Frankreich,,Francia,proper noun
,Österreich,,Austria,proper noun
,Russland,,Rusia,proper noun
,Spanien,,España,proper noun
,Italien,,Italia,proper noun
,England,,Inglaterra,proper noun
die,USA,,Estados Unidos,proper noun
,China,,China,proper noun
,Japan,,Japón,proper noun
,Indien,,India,proper noun
,Neuseeland,,Nueva Zelanda,proper noun
,Australien,,Australia,proper noun
,Ägypten,,Egipto,proper noun
,reich,,rico,adjective
das,Reich,Reiche,imperio / reino,noun
das,Genus,Genera,género gramatical,noun
das,Mädchen,Mädchen,niña,noun
das,Kind,Kinder,niño (child),noun
,heiß,,caliente,adjective
der,Junge,Jungen,niño,noun
die,Tasse,Tassen,taza,noun
die,Lampe,Lampen,lámpara,noun
,leer,,vacío,adjective
der,Baum,Bäume,árbol,noun
der,Sessel,Sessel,sillón / butaca,noun
die,Blume,Blumen,flor,noun
,schauen,,mirar,verb
,schau mal,,mira / fíjate,expression
,bequem,,cómodo,adjective
die,Küche,Küchen,cocina,noun
,modern,,moderno,adjective
das,Bett,Betten,cama,noun
der,Norden,,Norte,noun
der,Süden,,Sur,noun
der,Osten,,Este (East),noun
der,Westen,,Oeste,noun
der,Bäcker,Bäcker,panadero,noun
der,Computer,Computer,ordenador,noun
der,Schmetterling,Schmetterlinge,mariposa,noun
der,Tourismus,,turismo,noun
die,Freiheit,,libertad,noun
die,Zeitung,Zeitungen,periódico / diario,noun
die,Nation,Nationen,nación,noun
die,Universität,Universitäten,universidad,noun
die,Magd,Mägde,criada / sirvienta,noun
das,Eigentum,Eigentümer,propiedad,noun
,leben,,vivir,verb
das,Leben,,vida,noun
,rot,,rojo,adjective
das,Rot,,rojo (el color),noun
das,Hotel,Hotels,hotel,noun
das,Restaurant,Restaurants,restaurante,noun
das,Radio,Radios,radio,noun
die,Wohnung,Wohnungen,vivienda / piso / apartamento,noun
der,Name,Namen,nombre,noun
der,Stuhl,Stühle,silla,noun
das,Jahr,Jahre,año,noun
der,Ort,Orte,lugar / sitio,noun
der,Ball,Bälle,pelota / balón,noun
das,Land,Länder,país / tierra,noun
die,Oma,Omas,abuela,noun
das,Fenster,Fenster,ventana,noun
die,Mutter,Mütter,madre,noun
der,Bruder,Brüder,hermano,noun
der,Sohn,Söhne,hijo,noun
die,Tür,Türen,puerta,noun
,sehen,,ver,verb
,groß,,grande,adjective
,lesen,,leer,verb
